No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime,AQI_Level
6541,2013,11,28,12,8,34,4,20,500,56,4.2,1021.4,-26,0,WNW,5.5,Tiantan,28-11-2013 12:00,Good
6541,2013,11,28,12,21,12,38,21,700,61.2612,4.8,1015.5,-23.3,0,ESE,1.4,Huairou,28-11-2013 12:00,Good
6542,2013,11,28,13,7,6,3,4,300,54,5.7,1018.2,-23.7,0,W,4.8,Wanshouxigong,28-11-2013 13:00,Good
6542,2013,11,28,13,6,61,12,12,400,51,4.2,1015.9,-22.8,0,WNW,5.9,Changping,28-11-2013 13:00,Good
6542,2013,11,28,13,11,14,5,20,500,58,5.1,1020.8,-25.3,0,WNW,6,Tiantan,28-11-2013 13:00,Good
6542,2013,11,28,13,16,16,44,21,600,67.473,5.4,1014.6,-22.8,0,ENE,1.2,Huairou,28-11-2013 13:00,Good
6543,2013,11,28,14,11,6,6,6,300,50,6.3,1017.8,-22.1,0,W,5.1,Wanshouxigong,28-11-2013 14:00,Good
6543,2013,11,28,14,15,49,14,15,500,49,4.9,1015.1,-21.3,0,NW,4.9,Changping,28-11-2013 14:00,Good
6543,2013,11,28,14,7,23,5,20,500,58,5.7,1020.3,-23.7,0,WNW,3.9,Tiantan,28-11-2013 14:00,Good
6543,2013,11,28,14,11,15,29,21,700,68.544,5.2,1014.1,-22,0,ESE,1.3,Huairou,28-11-2013 14:00,Good
6544,2013,11,28,15,16,44,14,19,500,46,6,1014.9,-18.8,0,WNW,6.4,Changping,28-11-2013 15:00,Good
6544,2013,11,28,15,21,26,37,28,500,60.8328,6.5,1014.2,-19.2,0,NW,1.6,Huairou,28-11-2013 15:00,Good
6544,2013,11,28,15,9,24,6,22,500,57,5.8,1020,-22.5,0,NW,3.7,Tiantan,28-11-2013 15:00,Good
6544,2013,11,28,15,6,56,7,6,300,52,5.2,1017.6,-21.1,0,WSW,2.6,Wanshouxigong,28-11-2013 15:00,Good
6545,2013,11,28,16,12,50,11,17,500,50,5.8,1014.6,-15.5,0,WNW,6.6,Changping,28-11-2013 16:00,Good
6545,2013,11,28,16,8,20,6,12,300,45,3,1017.5,-21.2,0,WSW,1.2,Wanshouxigong,28-11-2013 16:00,Good
6545,2013,11,28,16,19,42,31,31,600,53.7642,4.7,1014.3,-19.8,0,WSW,1.3,Huairou,28-11-2013 16:00,Good
6545,2013,11,28,16,7,25,5,27,500,52,4.6,1020,-21.5,0,WNW,1.7,Tiantan,28-11-2013 16:00,Good
6546,2013,11,28,17,14,60,16,22,500,44,6.2,1014.6,-13.4,0,NW,4.5,Changping,28-11-2013 17:00,Good
6546,2013,11,28,17,8,25,5,11,300,76.6836,4.6,1014.2,-15.9,0,W,1.4,Huairou,28-11-2013 17:00,Good
6546,2013,11,28,17,26,54,17,47,800,10,1.7,1017.6,-19.5,0,W,1.4,Wanshouxigong,28-11-2013 17:00,Good
6546,2013,11,28,17,22,59,15,53,800,21,3.2,1020.1,-21,0,W,1.9,Tiantan,28-11-2013 17:00,Good
6547,2013,11,28,18,12,42,13,25,500,39,6.5,1014.7,-13.7,0,NW,5.5,Changping,28-11-2013 18:00,Good
6547,2013,11,28,18,34,68,20,68,1100,2,2.4,1020.1,-21.7,0,SW,1.4,Tiantan,28-11-2013 18:00,Good
6547,2013,11,28,18,8,25,5,16,400,69.615,4.6,1014.3,-14.8,0,W,1.6,Huairou,28-11-2013 18:00,Good
6547,2013,11,28,18,42,73,24,64,1100,1,-0.6,1017.6,-16.1,0,SW,0.7,Wanshouxigong,28-11-2013 18:00,Good
6548,2013,11,28,19,13,32,12,25,500,38,6.5,1014.6,-13.7,0,NW,4.6,Changping,28-11-2013 19:00,Good
6548,2013,11,28,19,65,93,31,70,1300,1,-1.8,1017.5,-14.6,0,WSW,1.3,Wanshouxigong,28-11-2013 19:00,Moderate
6548,2013,11,28,19,57,83,23,72,1400,2,0.5,1020.2,-19.4,0,WNW,0.9,Tiantan,28-11-2013 19:00,Moderate
6548,2013,11,28,19,5,26,5,13,400,72.6138,1.7,1014.6,-15.8,0,NNE,1.4,Huairou,28-11-2013 19:00,Good
6549,2013,11,28,20,12,28,12,20,500,43,6.2,1014.8,-13.4,0,NNW,3.5,Changping,28-11-2013 20:00,Good
6549,2013,11,28,20,7,23,5,10,400,76.6836,0.2,1014.9,-16.6,0,NE,1,Huairou,28-11-2013 20:00,Good
6549,2013,11,28,20,71,80,22,70,1500,2,0,1020.2,-17.3,0,WNW,0.9,Tiantan,28-11-2013 20:00,Moderate
6549,2013,11,28,20,76,104,36,72,1500,1,-0.7,1017.3,-15.4,0,SSE,0.9,Wanshouxigong,28-11-2013 20:00,Moderate
6550,2013,11,28,21,52,68,43,49,1600,32.3442,-0.4,1015,-16.3,0,SE,0.6,Huairou,28-11-2013 21:00,Moderate
6550,2013,11,28,21,66,78,29,74,1600,2,0.1,1020.4,-15.9,0,NNW,1.2,Tiantan,28-11-2013 21:00,Moderate
6550,2013,11,28,21,10,27,11,22,500,40,5,1015.1,-13,0,ENE,1.2,Changping,28-11-2013 21:00,Good
6550,2013,11,28,21,83,115,42,70,1900,1,-0.4,1017.6,-14.7,0,N,1.3,Wanshouxigong,28-11-2013 21:00,Moderate
6551,2013,11,28,22,12,23,18,16,500,46,4,1015.1,-12.9,0,E,0.7,Changping,28-11-2013 22:00,Good
6551,2013,11,28,22,94,117,60,68,2000,6.426,-2.1,1015.1,-16.3,0,S,0.7,Huairou,28-11-2013 22:00,Moderate
6551,2013,11,28,22,73,96,33,74,2000,2,0.2,1020.2,-14.6,0,WSW,0.7,Tiantan,28-11-2013 22:00,Moderate
6551,2013,11,28,22,100,127,41,70,2600,1,-0.4,1017.5,-15.1,0,S,2.2,Wanshouxigong,28-11-2013 22:00,Moderate
6552,2013,11,28,23,16,24,80,30,800,27,3.2,1015.1,-13.2,0,N,1.2,Changping,28-11-2013 23:00,Good
6552,2013,11,28,23,102,136,47,71,3000,1,-2,1017.5,-16.2,0,ENE,0.5,Wanshouxigong,28-11-2013 23:00,Unhealthy
6552,2013,11,28,23,91,118,31,75,3000,2,4.5,1019.9,-14.4,0,NNW,2.8,Tiantan,28-11-2013 23:00,Moderate
6552,2013,11,28,23,71,92,49,62,1800,4.9266,-2.4,1014.8,-14.2,0,W,0.7,Huairou,28-11-2013 23:00,Moderate
6553,2013,11,29,0,17,23,52,23,600,35,2,1014.6,-13,0,E,1.4,Changping,29-11-2013 00:00,Good
6553,2013,11,29,0,106,130,38,77,3500,2,3.1,1019.5,-14.1,0,SW,1.2,Tiantan,29-11-2013 00:00,Unhealthy
6553,2013,11,29,0,60,74,35,60,1900,4.4982,-2.8,1014.6,-14.5,0,NNE,0.6,Huairou,29-11-2013 00:00,Moderate
6553,2013,11,29,0,111,141,58,73,3400,1,-2.4,1017.2,-14.2,0,SE,0.6,Wanshouxigong,29-11-2013 00:00,Unhealthy
6554,2013,11,29,1,103,116,31,74,3700,2,-0.3,1019.5,-13.6,0,NNW,1,Tiantan,29-11-2013 01:00,Unhealthy
6554,2013,11,29,1,107,140,69,73,3400,1,-3.3,1017,-14.7,0,NW,0.8,Wanshouxigong,29-11-2013 01:00,Unhealthy
6554,2013,11,29,1,59,70,40,56,1800,3.6414,-2.7,1014.3,-14.2,0,NW,0.9,Huairou,29-11-2013 01:00,Moderate
6554,2013,11,29,1,22,26,33,30,900,25,1.9,1014.6,-12.7,0,NE,1,Changping,29-11-2013 01:00,Good
6555,2013,11,29,2,100,99,33,74,3700,2,0.2,1019.6,-13.5,0,W,1.1,Tiantan,29-11-2013 02:00,Moderate
6555,2013,11,29,2,109,138,66,73,4000,1,-2.2,1017,-14,0,W,1.4,Wanshouxigong,29-11-2013 02:00,Unhealthy
6555,2013,11,29,2,48,49,23,50,1400,4.4982,-3.4,1014.3,-13.7,0,WNW,0.9,Huairou,29-11-2013 02:00,Good
6555,2013,11,29,2,23,35,28,34,1100,22,0.1,1014.5,-12.2,0,NNW,1.2,Changping,29-11-2013 02:00,Good
6556,2013,11,29,3,103,130,66,72,4100,1,-3.7,1016.6,-12.4,0,WSW,0.7,Wanshouxigong,29-11-2013 03:00,Unhealthy
6556,2013,11,29,3,40,47,21,43,1300,5.9976,-4.8,1014,-13.4,0,SSE,0.6,Huairou,29-11-2013 03:00,Good
6556,2013,11,29,3,16,20,27,20,800,39,2.1,1014.2,-12.9,0,ENE,1.6,Changping,29-11-2013 03:00,Good
6556,2013,11,29,3,94,97,27,68,3500,1,1,1019.4,-13.5,0,NW,1.6,Tiantan,29-11-2013 03:00,Moderate
6557,2013,11,29,4,33,27,17,43,1200,18.4212,-5.3,1014,-12.9,0,NE,0.7,Huairou,29-11-2013 04:00,Good
6557,2013,11,29,4,89,89,21,64,3700,1.071,1.4,1019,-13.9,0,WSW,1.1,Tiantan,29-11-2013 04:00,Moderate
6557,2013,11,29,4,99,116,62,68,4000,1,-3.8,1016.2,-13.2,0,ENE,0.5,Wanshouxigong,29-11-2013 04:00,Moderate
6557,2013,11,29,4,17,22,65,27,800,30,5.3,1013.8,-13.2,0,WNW,5.3,Changping,29-11-2013 04:00,Good
6558,2013,11,29,5,85,79,26,71,4400,2,-0.7,1018.4,-13.3,0,ESE,1.3,Tiantan,29-11-2013 05:00,Moderate
6558,2013,11,29,5,26,24,45,40,800,16.2792,-5.6,1013.9,-12.8,0,NNE,0.9,Huairou,29-11-2013 05:00,Good
6558,2013,11,29,5,94,109,54,66,4300,1,-2.2,1016,-12,0,ESE,1.4,Wanshouxigong,29-11-2013 05:00,Moderate
6558,2013,11,29,5,23,22,116,35,1100,20,5.8,1013.5,-13.3,0,NW,3.3,Changping,29-11-2013 05:00,Good
6559,2013,11,29,6,22,26,29,40,1000,16.7076,-5.1,1013.4,-12.8,0,E,0.7,Huairou,29-11-2013 06:00,Good
6559,2013,11,29,6,89,112,44,68,4500,1,-2.6,1016.1,-11.9,0,NE,0.8,Wanshouxigong,29-11-2013 06:00,Moderate
6559,2013,11,29,6,85,93,24,73,4800,1,-1.4,1018.7,-12.4,0,WNW,0.6,Tiantan,29-11-2013 06:00,Moderate
6559,2013,11,29,6,11,24,23,20,500,41,3.9,1013.2,-13.4,0,NNE,2,Changping,29-11-2013 06:00,Good
6560,2013,11,29,7,80,113,49,71,4900,1,-3,1016.7,-11.7,0,WNW,1.1,Wanshouxigong,29-11-2013 07:00,Moderate
6560,2013,11,29,7,23,37,16,56,1000,3.6414,-3.1,1013.9,-12.1,0,NNE,0.5,Huairou,29-11-2013 07:00,Good
6560,2013,11,29,7,16,22,30,23,600,40,6.4,1013.6,-13.3,0,NW,5.6,Changping,29-11-2013 07:00,Good
6560,2013,11,29,7,73,90,21,75,4500,1,-1.1,1019.1,-11.5,0,W,1,Tiantan,29-11-2013 07:00,Moderate
6561,2013,11,29,8,77,113,22,78,4900,1,5.4,1018.8,-11.3,0,WSW,0.7,Tiantan,29-11-2013 08:00,Moderate
6561,2013,11,29,8,30,63,18,62,1400,4.7124,0.4,1013.7,-10.2,0,SE,0.6,Huairou,29-11-2013 08:00,Good
6561,2013,11,29,8,21,31,37,31,800,30,6.6,1013.6,-12.1,0,SW,1.3,Changping,29-11-2013 08:00,Good
6561,2013,11,29,8,92,135,49,74,5600,1,2.3,1016.2,-12,0,E,0.6,Wanshouxigong,29-11-2013 08:00,Moderate
6562,2013,11,29,9,81,126,31,88,5300,2,9,1018.2,-12.8,0,SSE,0.7,Tiantan,29-11-2013 09:00,Moderate
6562,2013,11,29,9,38,61,42,54,1200,13.0662,4.3,1013.2,-12.2,0,ESE,0.9,Huairou,29-11-2013 09:00,Good
6562,2013,11,29,9,101,152,51,82,6500,1,7.6,1015.6,-12.8,0,W,0.9,Wanshouxigong,29-11-2013 09:00,Unhealthy
6562,2013,11,29,9,25,32,29,31,800,32,8.7,1013,-12.5,0,NW,3.5,Changping,29-11-2013 09:00,Good
6563,2013,11,29,10,37,65,75,55,1000,19.4922,6,1012.2,-11.6,0,ESE,0.8,Huairou,29-11-2013 10:00,Good
6563,2013,11,29,10,69,62,46,73,3000,1,10.5,1014.7,-13.6,0,SSE,1.5,Wanshouxigong,29-11-2013 10:00,Moderate
6563,2013,11,29,10,73,83,44,83,3100,3,10.2,1017.1,-14.6,0,SSW,2.4,Tiantan,29-11-2013 10:00,Moderate
6563,2013,11,29,10,41,57,33,40,1100,24,10.1,1012,-11.9,0,NW,3.6,Changping,29-11-2013 10:00,Good
6564,2013,11,29,11,42,30,30,56,1600,6,11.5,1013.2,-13.5,0,WNW,1.2,Wanshouxigong,29-11-2013 11:00,Good
6564,2013,11,29,11,42,69,34,73,1700,10,11.1,1015.9,-13.8,0,WSW,1.5,Tiantan,29-11-2013 11:00,Good
6564,2013,11,29,11,16,27,22,19,600,48,10.9,1010.6,-12.5,0,NW,4.7,Changping,29-11-2013 11:00,Good
6564,2013,11,29,11,84,95,140,61,1200,27.4176,8.9,1010.4,-11.2,0,SE,1.4,Huairou,29-11-2013 11:00,Moderate
6565,2013,11,29,12,65,87,102,74,1300,31.059,11.5,1009.1,-12.1,0,WSW,2.8,Huairou,29-11-2013 12:00,Moderate
6565,2013,11,29,12,28,6,26,35,800,25,12.4,1012.1,-13.6,0,SSW,2.5,Wanshouxigong,29-11-2013 12:00,Good
6565,2013,11,29,12,16,23,19,17,500,54,11.4,1009.6,-12.1,0,NW,5.1,Changping,29-11-2013 12:00,Good
6565,2013,11,29,12,28,41,25,54,1000,26,12.8,1014.6,-14.1,0,W,2.3,Tiantan,29-11-2013 12:00,Good
6566,2013,11,29,13,26,30,39,27,500,63.8316,12.6,1008.1,-12.6,0,SW,2.3,Huairou,29-11-2013 13:00,Good
6566,2013,11,29,13,17,14,14,39,700,50,12.7,1013.7,-14.2,0,S,1.5,Tiantan,29-11-2013 13:00,Good
6566,2013,11,29,13,12,15,16,31,700,38,12.2,1011.1,-12.2,0,SSW,0.9,Wanshouxigong,29-11-2013 13:00,Good
6566,2013,11,29,13,23,31,24,17,500,52,12.5,1008.7,-12.7,0,NW,4.6,Changping,29-11-2013 13:00,Good
6567,2013,11,29,14,15,16,28,19,400,72.6138,13.3,1007.2,-12.8,0,WSW,1.1,Huairou,29-11-2013 14:00,Good
6567,2013,11,29,14,20,33,25,18,500,51,12,1007.7,-11.6,0,NW,4.1,Changping,29-11-2013 14:00,Good
6567,2013,11,29,14,46,69,26,72,1100,35,12.2,1012.8,-14.6,0,SSW,2.8,Tiantan,29-11-2013 14:00,Good
6567,2013,11,29,14,42,46,20,46,1000,39,11.5,1010.3,-12.1,0,SW,2.4,Wanshouxigong,29-11-2013 14:00,Good
6568,2013,11,29,15,91,95,30,70,1300,45,11.3,1012.8,-15.3,0,SW,2.1,Tiantan,29-11-2013 15:00,Moderate
6568,2013,11,29,15,13,11,22,20,300,73.899,12.1,1007,-13,0,WSW,1.7,Huairou,29-11-2013 15:00,Good
6568,2013,11,29,15,77,81,28,52,1200,39,10.5,1010.2,-11.6,0,SW,1.3,Wanshouxigong,29-11-2013 15:00,Moderate
6568,2013,11,29,15,24,33,28,21,600,49,11.6,1007.5,-11.3,0,NW,3.1,Changping,29-11-2013 15:00,Good
6569,2013,11,29,16,48,58,19,49,900,50,9.3,1012.8,-13.9,0,SW,2.6,Tiantan,29-11-2013 16:00,Good
6569,2013,11,29,16,14,21,23,22,300,72.3996,9.1,1007.2,-12.7,0,WSW,1.8,Huairou,29-11-2013 16:00,Good
6569,2013,11,29,16,29,41,35,29,700,37,10.1,1007.7,-11.3,0,W,1.8,Changping,29-11-2013 16:00,Good
6569,2013,11,29,16,53,68,19,43,1100,35,6.4,1010.4,-10.4,0,SW,1.5,Wanshouxigong,29-11-2013 16:00,Moderate
6570,2013,11,29,17,86,118,25,64,1500,23,4.2,1010.8,-9.9,0,WSW,1.5,Wanshouxigong,29-11-2013 17:00,Moderate
6570,2013,11,29,17,70,105,22,61,1200,42,8.1,1013.3,-11.8,0,SW,1.4,Tiantan,29-11-2013 17:00,Moderate
6570,2013,11,29,17,34,51,39,45,800,17,8.7,1007.8,-11.3,0,WSW,1.3,Changping,29-11-2013 17:00,Good
6570,2013,11,29,17,16,25,26,26,400,67.2588,8.1,1007.4,-12.4,0,W,0.8,Huairou,29-11-2013 17:00,Good
6571,2013,11,29,18,20,31,27,30,400,60.1902,7.1,1007.6,-12.2,0,W,2.5,Huairou,29-11-2013 18:00,Good
6571,2013,11,29,18,126,166,26,94,2300,1,3,1010.9,-9,0,WSW,1.4,Wanshouxigong,29-11-2013 18:00,Unhealthy
6571,2013,11,29,18,79,83,66,58,1900,6,8.5,1008.1,-11,0,W,1.8,Changping,29-11-2013 18:00,Moderate
6571,2013,11,29,18,104,126,24,87,1700,10,6.2,1013.5,-11.5,0,WSW,2.3,Tiantan,29-11-2013 18:00,Unhealthy
6572,2013,11,29,19,46,73,46,70,1100,25.4898,4.9,1007.8,-12.1,0,SW,0.7,Huairou,29-11-2013 19:00,Good
6572,2013,11,29,19,122,158,29,92,2400,1,1.4,1010.9,-8.4,0,SE,0.5,Wanshouxigong,29-11-2013 19:00,Unhealthy
6572,2013,11,29,19,66,74,53,61,1800,4,8.9,1008.1,-11.2,0,WNW,1.3,Changping,29-11-2013 19:00,Moderate
6572,2013,11,29,19,115,126,23,96,2000,2,6.4,1013.2,-12.2,0,WSW,2.3,Tiantan,29-11-2013 19:00,Unhealthy
6573,2013,11,29,20,107,108,23,88,1900,1,4.8,1013.3,-11.8,0,SW,0.8,Tiantan,29-11-2013 20:00,Unhealthy
6573,2013,11,29,20,95,132,53,103,1900,4.7124,2.1,1008.1,-12.5,0,NW,1.2,Huairou,29-11-2013 20:00,Moderate
6573,2013,11,29,20,110,124,33,83,2500,1,0,1010.9,-8.5,0,SSE,0.4,Wanshouxigong,29-11-2013 20:00,Unhealthy
6573,2013,11,29,20,64,69,56,59,1700,5,9.1,1008,-11.5,0,WNW,3.4,Changping,29-11-2013 20:00,Moderate
6574,2013,11,29,21,101,108,33,89,2200,2,5.5,1013.3,-11.6,0,SE,1.5,Tiantan,29-11-2013 21:00,Unhealthy
6574,2013,11,29,21,102,124,51,92,2000,5.1408,1.5,1008.4,-11.6,0,WSW,0.7,Huairou,29-11-2013 21:00,Unhealthy
6574,2013,11,29,21,111,134,42,80,2800,1,-0.9,1010.9,-7.9,0,SSW,0.7,Wanshouxigong,29-11-2013 21:00,Unhealthy
6574,2013,11,29,21,71,74,62,62,2300,6,10.1,1008.2,-11.3,0,WNW,3.8,Changping,29-11-2013 21:00,Moderate
6575,2013,11,29,22,113,124,36,89,3000,2,2.7,1013.4,-10.6,0,W,1,Tiantan,29-11-2013 22:00,Unhealthy
6575,2013,11,29,22,116,111,73,69,3600,8,8.5,1008.2,-11,0,E,1.4,Changping,29-11-2013 22:00,Unhealthy
6575,2013,11,29,22,118,136,54,79,2900,1,-0.4,1010.9,-8.4,0,W,1.7,Wanshouxigong,29-11-2013 22:00,Unhealthy
6575,2013,11,29,22,57,53,26,47,1300,16.4934,-0.7,1008.3,-11.5,0,WNW,1,Huairou,29-11-2013 22:00,Moderate
6576,2013,11,29,23,52,58,21,41,1300,17.3502,-0.9,1008.8,-11.1,0,ESE,0.8,Huairou,29-11-2013 23:00,Moderate
6576,2013,11,29,23,107,113,23,80,2700,1,1.3,1013.7,-10.2,0,E,1.6,Tiantan,29-11-2013 23:00,Unhealthy
6576,2013,11,29,23,114,135,44,79,3000,1,-0.9,1011,-9.3,0,N,0.4,Wanshouxigong,29-11-2013 23:00,Unhealthy
6576,2013,11,29,23,64,69,44,56,1500,6,5.6,1008.6,-11.1,0,NNW,2,Changping,29-11-2013 23:00,Moderate
6577,2013,11,30,0,85,87,55,63,2000,4,5.8,1008.8,-11.3,0,NW,1.3,Changping,30-11-2013 00:00,Moderate
6577,2013,11,30,0,116,145,37,85,2800,1,-1.7,1011,-8.9,0,NW,1.2,Wanshouxigong,30-11-2013 00:00,Unhealthy
6577,2013,11,30,0,52,48,31,36,1300,18.6354,-1.8,1008.9,-10.6,0,NE,0.8,Huairou,30-11-2013 00:00,Moderate
6577,2013,11,30,0,98,104,20,77,3000,1,0,1013.6,-8.9,0,N,0.5,Tiantan,30-11-2013 00:00,Moderate
6578,2013,11,30,1,99,106,17,81,3200,1,4.6,1014.2,-11.5,0,NW,2.1,Tiantan,30-11-2013 01:00,Moderate
6578,2013,11,30,1,69,82,40,60,1900,4.0698,-2.5,1009.4,-10.3,0,W,1,Huairou,30-11-2013 01:00,Moderate
6578,2013,11,30,1,127,145,32,83,3400,1,-0.4,1011.6,-8.4,0,NW,0.5,Wanshouxigong,30-11-2013 01:00,Unhealthy
6578,2013,11,30,1,42,43,43,44,1100,8,6,1009.6,-12.1,0,NW,0.8,Changping,30-11-2013 01:00,Good
6579,2013,11,30,2,115,145,26,83,3700,1,4.4,1012.1,-10.9,0,NNE,1.7,Wanshouxigong,30-11-2013 02:00,Unhealthy
6579,2013,11,30,2,61,72,25,61,1400,2.5704,-3,1010.2,-10.1,0,S,0.7,Huairou,30-11-2013 02:00,Moderate
6579,2013,11,30,2,95,93,17,78,3000,1,7.6,1014.7,-12.8,0,WNW,1.2,Tiantan,30-11-2013 02:00,Moderate
6579,2013,11,30,2,36,42,45,41,1000,12,5.6,1010.4,-12.4,0,N,3.8,Changping,30-11-2013 02:00,Good
6580,2013,11,30,3,83,64,37,68,2300,1,5.4,1012.3,-12.6,0,NE,1.7,Wanshouxigong,30-11-2013 03:00,Moderate
6580,2013,11,30,3,58,69,34,60,1800,3.213,-4,1010.7,-10.4,0,SSE,1.1,Huairou,30-11-2013 03:00,Moderate
6580,2013,11,30,3,65,57,40,68,1700,1,6.3,1015,-12.8,0,E,2.6,Tiantan,30-11-2013 03:00,Moderate
6580,2013,11,30,3,33,44,57,42,700,12,4.7,1011.1,-12.7,0,NNE,1.3,Changping,30-11-2013 03:00,Good
6581,2013,11,30,4,58,66,35,57,1600,2.5704,-2,1011.2,-11.3,0,NNW,1.1,Huairou,30-11-2013 04:00,Moderate
6581,2013,11,30,4,33,54,44,55,1000,6,3.9,1016.1,-12.6,0,E,2.5,Tiantan,30-11-2013 04:00,Good
6581,2013,11,30,4,33,45,40,42,700,16,3.8,1011.7,-13.1,0,NNW,1,Changping,30-11-2013 04:00,Good
6581,2013,11,30,4,37,20,42,68,1000,1,6.9,1012.8,-14,0,NNE,3.3,Wanshouxigong,30-11-2013 04:00,Good
6582,2013,11,30,5,27,44,45,48,900,13,3.7,1017.1,-12.7,0,N,2.3,Tiantan,30-11-2013 05:00,Good
6582,2013,11,30,5,35,42,46,43,900,16,4.2,1012.8,-13.2,0,WNW,1.3,Changping,30-11-2013 05:00,Good
6582,2013,11,30,5,20,22,44,41,700,7,6.4,1014,-15,0,NE,2.4,Wanshouxigong,30-11-2013 05:00,Good
6582,2013,11,30,5,52,70,30,57,1600,2.5704,6.1,1012.2,-15.2,0,NNW,3,Huairou,30-11-2013 05:00,Moderate
6583,2013,11,30,6,28,33,27,37,800,23.7762,2.3,1013.1,-13.1,0,ESE,1.4,Huairou,30-11-2013 06:00,Good
6583,2013,11,30,6,24,53,44,51,900,11,6.1,1017.5,-15.9,0,NW,4.4,Tiantan,30-11-2013 06:00,Good
6583,2013,11,30,6,28,45,41,35,700,24,4.7,1013.7,-14.2,0,N,2.9,Changping,30-11-2013 06:00,Good
6583,2013,11,30,6,25,30,39,38,600,10,5.5,1015.2,-14.6,0,N,2.3,Wanshouxigong,30-11-2013 06:00,Good
6584,2013,11,30,7,22,56,38,50,900,12,6.1,1018.7,-15.9,0,NW,2.9,Tiantan,30-11-2013 07:00,Good
6584,2013,11,30,7,26,40,35,29,600,30,4.3,1015.1,-14.5,0,N,1.8,Changping,30-11-2013 07:00,Good
6584,2013,11,30,7,16,29,39,40,600,7,5.6,1016.2,-15.7,0,NNE,2.3,Wanshouxigong,30-11-2013 07:00,Good
6584,2013,11,30,7,23,38,24,52,1200,12.6378,3.8,1014.3,-13.1,0,E,1.1,Huairou,30-11-2013 07:00,Good
6585,2013,11,30,8,15,32,33,31,600,16,7.7,1016.8,-15.9,0,NNE,2.1,Wanshouxigong,30-11-2013 08:00,Good
6585,2013,11,30,8,35,51,42,60,1000,11.1384,6.8,1015.2,-11.9,0,E,0.6,Huairou,30-11-2013 08:00,Good
6585,2013,11,30,8,25,47,66,33,700,27,5.8,1015.9,-14.3,0,NNE,0.6,Changping,30-11-2013 08:00,Good
6585,2013,11,30,8,19,52,33,48,900,14,6.8,1019.7,-15.3,0,NNW,3.1,Tiantan,30-11-2013 08:00,Good
6586,2013,11,30,9,31,70,43,56,1000,14.5656,8,1015.4,-12.5,0,NE,2.1,Huairou,30-11-2013 09:00,Good
6586,2013,11,30,9,17,39,22,24,500,25,8.4,1017.5,-15.3,0,NNE,2.2,Wanshouxigong,30-11-2013 09:00,Good
6586,2013,11,30,9,24,40,54,29,700,31,8,1016,-14.9,0,NE,1.6,Changping,30-11-2013 09:00,Good
6586,2013,11,30,9,22,56,26,41,800,24,8,1020.2,-14.9,0,NNW,3.9,Tiantan,30-11-2013 09:00,Good
6587,2013,11,30,10,18,44,22,19,500,32,9.4,1017.7,-14.5,0,NE,4.2,Wanshouxigong,30-11-2013 10:00,Good
6587,2013,11,30,10,21,33,73,22,600,37,8.8,1015.9,-13.6,0,N,2,Changping,30-11-2013 10:00,Good
6587,2013,11,30,10,21,66,25,37,1000,29,8.6,1020.1,-14.4,0,NNW,3.8,Tiantan,30-11-2013 10:00,Good
6587,2013,11,30,10,61,87,50,53,1000,34.7004,8.5,1015.4,-13.2,0,NNE,1.6,Huairou,30-11-2013 10:00,Moderate
6588,2013,11,30,11,11,56,22,32,800,38,9.2,1019.7,-14.6,0,N,4.8,Tiantan,30-11-2013 11:00,Good
6588,2013,11,30,11,15,28,29,14,400,49,9.3,1015.1,-13.2,0,WNW,4.2,Changping,30-11-2013 11:00,Good
6588,2013,11,30,11,16,47,16,16,400,38,9.8,1017.3,-13.5,0,NE,3.1,Wanshouxigong,30-11-2013 11:00,Good
6588,2013,11,30,11,12,30,17,20,300,68.3298,9,1014.7,-15.5,0,NE,2.3,Huairou,30-11-2013 11:00,Good
6589,2013,11,30,12,9,37,15,28,600,48,9.6,1019.2,-14.3,0,NW,4.3,Tiantan,30-11-2013 12:00,Good
6589,2013,11,30,12,12,27,28,15,400,52,10.4,1014.8,-13,0,NW,2.3,Changping,30-11-2013 12:00,Good
6589,2013,11,30,12,8,37,13,12,400,46,10.7,1016.6,-12.7,0,NE,2.9,Wanshouxigong,30-11-2013 12:00,Good
6589,2013,11,30,12,5,8,17,12,300,73.6848,9.4,1014.2,-16.8,0,NE,2.5,Huairou,30-11-2013 12:00,Good
6590,2013,11,30,13,7,26,13,28,600,49,10.3,1019.2,-14.5,0,NW,2.2,Tiantan,30-11-2013 13:00,Good
6590,2013,11,30,13,18,26,35,15,400,57,10.6,1014.4,-12.8,0,WNW,4,Changping,30-11-2013 13:00,Good
6590,2013,11,30,13,14,20,9,10,400,53,10.9,1016.2,-12.5,0,NE,3.1,Wanshouxigong,30-11-2013 13:00,Good
6590,2013,11,30,13,6,9,8,12,200,92.106,10,1013.9,-17.2,0,E,1.8,Huairou,30-11-2013 13:00,Good
6591,2013,11,30,14,18,28,21,18,400,53,10.3,1014.2,-12.4,0,NW,4.2,Changping,30-11-2013 14:00,Good
6591,2013,11,30,14,5,6,10,11,200,94.4622,10.7,1013.9,-16.7,0,ENE,0.8,Huairou,30-11-2013 14:00,Good
6591,2013,11,30,14,11,14,10,9,300,58,11,1016.2,-13.2,0,NE,3.7,Wanshouxigong,30-11-2013 14:00,Good
